,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,1h_percent,24h_percent,7d_percent,30d_percent,60d_percent,90d_percent,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
0,1,Bitcoin,BTC,bitcoin,9577,2013-04-28,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19073800.0,19073800.0,1,2022-06-22T06:02:00.000Z,20389.478976840306,28690877355.505253,-6.6656,-0.24398102,-2.42651422,-3.95529933,-32.6402135,-48.48684995,-52.58551952,388904844108.4566,43.2302,428179058513.65,2022-06-22T06:02:00.000Z
1,1027,Ethereum,ETH,ethereum,5767,2015-08-07,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121260849.5615,121260849.5615,2,2022-06-22T06:01:00.000Z,1095.9100750401012,14996225234.405481,-21.6359,-0.3305187,-4.52852926,-2.61151074,-46.25489591,-62.90854419,-64.02139843,132890986742.36989,14.7654,132890986742.37,2022-06-22T06:01:00.000Z
2,825,Tether,USDT,tether,34965,2015-02-25,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,66981025012.20322,68610622657.52944,3,2022-06-22T06:01:00.000Z,0.9990053386248008,49450554780.36636,-6.1742,-0.00056552,0.00010095,0.03428323,-0.01516093,-0.12656633,-0.13723106,66914401573.75233,7.434,68542378321.24,2022-06-22T06:01:00.000Z
3,3408,USD Coin,USDC,usd-coin,4569,2018-10-08,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,55897945995.23543,55897945995.23543,4,2022-06-22T06:00:00.000Z,1.0003809147490015,4665441201.408435,-13.3469,-0.00456717,-0.00396315,0.01418711,-0.00749427,0.00219529,0.04488941,55919238347.3039,6.2109,55919238347.3,2022-06-22T06:00:00.000Z
4,1839,BNB,BNB,bnb,972,2017-07-25,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,5,2022-06-22T06:01:00.000Z,216.37303493058354,1149526759.6007526,-7.3331,-0.12517012,-2.62991715,2.23520158,-33.18079942,-46.26710944,-47.22929897,35328734534.97699,3.9244,35726814479.1,2022-06-22T06:01:00.000Z
5,4687,Binance USD,BUSD,binance-usd,3873,2019-09-20,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17525749882.929256,17525749882.929256,6,2022-06-22T06:01:00.000Z,1.001030740884809,4912604758.050075,-2.0591,0.13987029,0.0110061,0.16041902,0.05077549,-0.03438046,-9.785e-05,17543814389.870525,1.9486,17543814389.87,2022-06-22T06:01:00.000Z
6,2010,Cardano,ADA,cardano,460,2017-10-01,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34277702081.605,7,2022-06-22T06:00:00.000Z,0.4701564218098424,991312639.700433,-8.9484,0.10000002,-5.38891158,1.91324954,-13.23214755,-47.35100781,-56.83187891,15862620922.30761,1.7618,21157038981.44,2022-06-22T06:00:00.000Z
7,52,XRP,XRP,xrp,742,2013-08-04,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,8,2022-06-22T06:02:00.000Z,0.3239539476967657,1252883315.0187762,7.7549,-0.00287579,-0.95678421,6.11789779,-23.00053218,-54.62507348,-61.19192857,15660938476.67239,1.7396,32395394769.68,2022-06-22T06:02:00.000Z
8,5426,Solana,SOL,solana,335,2020-04-10,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,342508604.6358067,511616946.142289,9,2022-06-22T06:00:00.000Z,34.73100299248434,1659134539.4803655,-19.4801,-0.16751606,-6.14531195,23.52591195,-33.63292696,-65.3616327,-64.14156458,11895667372.557838,1.3214,17768969687.47,2022-06-22T06:00:00.000Z
9,74,Dogecoin,DOGE,dogecoin,489,2013-12-15,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,10,2022-06-22T06:02:00.000Z,0.06360257389836199,1075179630.7630146,110.6112,0.1727038,3.43049212,21.42111559,-26.00824586,-52.6633839,-53.35668479,8438202090.53618,0.938,8438202090.54,2022-06-22T06:02:00.000Z
